Word 1,Word 2,Human (mean),similarity
love,sex,6.77,0.5362178683280945
tiger,cat,7.35,0.8400418758392334
tiger,tiger,10.0,1.0
book,paper,7.46,0.5264298915863037
computer,keyboard,7.62,0.6333524584770203
computer,internet,7.58,0.6498199701309204
plane,car,5.77,0.5685892105102539
train,car,6.31,0.5866273641586304
telephone,communication,7.5,0.5325626730918884
television,radio,6.77,0.7804690599441528
media,radio,7.42,0.5851725339889526
drug,abuse,6.85,0.728588342666626
bread,butter,6.19,0.8294209837913513
cucumber,potato,5.92,0.0
doctor,nurse,7.0,0.7516270279884338
professor,doctor,6.62,0.5317075252532959
student,professor,6.81,0.6060786843299866
smart,student,4.62,0.04693130403757095
smart,stupid,5.81,0.4637927711009979
company,stock,7.08,0.6139670610427856
stock,market,8.08,0.7024811506271362
stock,phone,1.62,0.35122737288475037
stock,CD,1.31,0.26855677366256714
stock,jaguar,0.92,0.0
stock,egg,1.81,0.1929355263710022
fertility,egg,6.69,0.36470359563827515
stock,live,3.73,0.06800918281078339
stock,life,0.92,-0.07287865877151489
book,library,7.46,0.3443303108215332
bank,money,8.12,0.33909356594085693
wood,forest,7.73,0.5709328651428223
money,cash,9.15,0.7266766428947449
professor,cucumber,0.31,0.0
king,cabbage,0.23,-0.09364508092403412
king,queen,8.58,0.7536136507987976
king,rook,5.92,0.3180091977119446
bishop,rabbi,6.69,0.689202606678009
Jerusalem,Israel,8.46,0.4288405478000641
Jerusalem,Palestinian,7.65,0.30465543270111084
holy,sex,1.62,0.1810167133808136
fuck,sex,9.44,0.10800114274024963
Maradona,football,8.62,0.4438105523586273
football,soccer,9.03,0.8008624315261841
football,basketball,6.81,0.8133795857429504
football,tennis,6.63,0.6101080179214478
tennis,racket,7.56,0.0
Arafat,peace,6.73,0.007307743653655052
Arafat,terror,7.65,0.09681436419487
Arafat,Jackson,2.5,0.40363600850105286
law,lawyer,8.38,0.43338799476623535
movie,star,7.38,0.5661354660987854
movie,popcorn,6.19,0.011269149370491505
movie,critic,6.73,0.4609617590904236
movie,theater,7.92,0.5469013452529907
physics,proton,8.12,0.41777101159095764
physics,chemistry,7.35,0.9122007489204407
space,chemistry,4.88,0.31114721298217773
alcohol,chemistry,5.54,0.4208926856517792
vodka,gin,8.46,0.593590497970581
vodka,brandy,8.13,0.7183921933174133
drink,car,3.04,0.3259032070636749
drink,ear,1.31,0.3807297348976135
drink,mouth,5.96,0.34962189197540283
drink,eat,6.87,0.774017333984375
baby,mother,7.85,0.680273711681366
drink,mother,2.65,0.3847673833370209
car,automobile,8.94,0.5676059722900391
gem,jewel,8.96,0.5030904412269592
journey,voyage,9.29,0.713970422744751
boy,lad,8.83,0.5670078992843628
coast,shore,9.1,0.8655027747154236
asylum,madhouse,8.87,0.0
magician,wizard,9.02,0.6597919464111328
midday,noon,9.29,0.7737549543380737
furnace,stove,8.79,0.6447893381118774
food,fruit,7.52,0.7110820412635803
bird,cock,7.1,0.5356489419937134
bird,crane,7.38,0.43686726689338684
tool,implement,6.46,0.5445502400398254
brother,monk,6.27,0.4657913148403168
crane,implement,2.69,0.06815331429243088
lad,brother,4.46,0.33837616443634033
journey,car,5.85,0.2865627706050873
monk,oracle,5.0,0.4296700358390808
cemetery,woodland,2.08,0.4020026624202728
food,rooster,4.42,0.270311176776886
coast,hill,4.38,0.6051479578018188
forest,graveyard,1.85,0.4690658450126648
shore,woodland,3.08,0.5166665315628052
monk,slave,0.92,0.5040543079376221
coast,forest,3.15,0.46480756998062134
lad,wizard,0.92,0.6021581888198853
chord,smile,0.54,0.420899361371994
glass,magician,2.08,0.2818372845649719
noon,string,0.54,0.09367939829826355
rooster,voyage,0.62,0.043490685522556305
money,dollar,8.42,0.37711554765701294
money,cash,9.08,0.7266766428947449
money,currency,9.04,0.36018216609954834
money,wealth,8.27,0.5954182147979736
money,property,7.57,0.5839076638221741
money,possession,7.29,0.4046974182128906
money,bank,8.5,0.33909356594085693
money,deposit,7.73,0.4266817569732666
money,withdrawal,6.88,0.18841667473316193
money,laundering,5.65,0.4117998480796814
money,operation,3.31,0.181226447224617
tiger,jaguar,8.0,0.0
tiger,feline,8.0,0.4646250605583191
tiger,carnivore,7.08,0.0
tiger,mammal,6.85,0.3378128111362457
tiger,animal,7.0,0.6405917406082153
tiger,organism,4.77,0.39857301115989685
tiger,fauna,5.62,0.32358717918395996
tiger,zoo,5.87,0.28126272559165955
psychology,psychiatry,8.08,0.6905555725097656
psychology,anxiety,7.0,0.5679152011871338
psychology,fear,6.85,0.2290935516357422
psychology,depression,7.42,0.3445747494697571
psychology,clinic,6.58,0.41350558400154114
psychology,doctor,6.42,0.4019854664802551
psychology,Freud,8.21,0.6302966475486755
psychology,mind,7.69,0.4300523102283478
psychology,health,7.23,0.47052910923957825
psychology,science,6.71,0.8321198225021362
psychology,discipline,5.58,0.6984347701072693
psychology,cognition,7.48,0.7083112001419067
planet,star,8.45,0.4217911958694458
planet,constellation,8.06,0.6444166302680969
planet,moon,8.08,0.7518588304519653
planet,sun,8.02,0.7760666608810425
planet,galaxy,8.11,0.7386306524276733
planet,space,7.92,0.4267466366291046
planet,astronomer,7.94,-0.06870778650045395
precedent,example,5.85,0.4275158643722534
precedent,information,3.85,0.29953646659851074
precedent,cognition,2.81,0.36082762479782104
precedent,law,6.65,0.508070170879364
precedent,collection,2.5,0.17504335939884186
precedent,group,1.77,0.09674102813005447
precedent,antecedent,6.04,0.0
